,Unnamed: 0,date,type,year,avg_price,size,nb_sold
52,52,2016-12-25,conventional,2016,1.0,,9255125.2
53,53,2016-12-18,conventional,2016,0.96,small,9394065.91
54,54,2016-12-11,conventional,2016,0.98,small,9009996.11
55,55,2016-12-04,conventional,2016,1.0,small,11043350.9
56,56,2016-11-27,conventional,2016,1.21,small,7891487.94
57,57,2016-11-20,conventional,2016,1.27,small,8531160.52
58,58,2016-11-13,conventional,2016,1.36,small,8235135.43
59,59,2016-11-06,conventional,2016,1.44,small,7804252.91
60,60,2016-10-30,conventional,2016,1.43,small,7100458.82
61,61,2016-10-23,conventional,2016,1.34,small,7579629.06
62,62,2016-10-16,conventional,2016,1.3,small,8810664.45
63,63,2016-10-09,conventional,2016,1.27,small,9552502.48
64,64,2016-10-02,conventional,2016,1.23,small,9534915.56
65,65,2016-09-25,conventional,2016,1.22,small,10548061.13
66,66,2016-09-18,conventional,2016,1.15,small,11337829.1
67,67,2016-09-11,conventional,2016,1.08,small,12962762.94
68,68,2016-09-04,conventional,2016,1.04,small,14643465.52
69,69,2016-08-28,conventional,2016,1.09,small,12561055.5
70,70,2016-08-21,conventional,2016,1.1,small,12725249.3
71,71,2016-08-14,conventional,2016,1.12,small,12352932.68
72,72,2016-08-07,conventional,2016,1.15,small,12197105.36
73,73,2016-07-31,conventional,2016,1.23,small,10168972.37
74,74,2016-07-24,conventional,2016,1.2,small,10331314.28
75,75,2016-07-17,conventional,2016,1.15,small,10320463.27
76,76,2016-07-10,conventional,2016,1.1,small,11457080.38
77,77,2016-07-03,conventional,2016,1.06,small,12508937.27
78,78,2016-06-26,conventional,2016,1.04,,12189035.17
79,79,2016-06-19,conventional,2016,1.02,small,13488851.61
80,80,2016-06-12,conventional,2016,1.04,small,12291686.69
81,81,2016-06-05,conventional,2016,0.97,small,13808859.16
82,82,2016-05-29,conventional,2016,0.94,small,13682611.21
83,83,2016-05-22,conventional,2016,0.93,small,11711999.81
84,84,2016-05-15,conventional,2016,0.89,small,12447598.49
85,85,2016-05-08,conventional,2016,0.82,small,14223304.98
86,86,2016-05-01,conventional,2016,0.84,small,13748944.38
87,87,2016-04-24,conventional,2016,0.87,small,12913697.19
88,88,2016-04-17,conventional,2016,0.9,small,11954487.56
89,89,2016-04-10,conventional,2016,0.9,small,12879820.47
90,90,2016-04-03,conventional,2016,0.94,small,11320969.79
91,91,2016-03-27,conventional,2016,0.94,small,11249198.4
92,92,2016-03-20,conventional,2016,0.93,small,11134390.98
93,93,2016-03-13,conventional,2016,0.93,small,11661687.44
94,94,2016-03-06,conventional,2016,0.95,small,11824154.63
95,95,2016-02-28,conventional,2016,0.91,small,11907394.72
96,96,2016-02-21,conventional,2016,0.94,small,10015825.13
97,97,2016-02-14,conventional,2016,0.88,,11913078.3
98,98,2016-02-07,conventional,2016,0.76,small,16573573.78
99,99,2016-01-31,conventional,2016,0.93,small,11098088.49
100,100,2016-01-24,conventional,2016,0.95,small,7020459.0
101,101,2016-01-17,conventional,2016,0.94,small,10036597.84
102,102,2016-01-10,conventional,2016,0.93,small,11441286.89
103,103,2016-01-03,conventional,2016,0.86,small,11616506.17
221,221,2016-12-25,organic,2016,1.34,small,93875.25
222,222,2016-12-18,organic,2016,1.43,small,97661.23
223,223,2016-12-11,organic,2016,1.42,small,93027.82
224,224,2016-12-04,organic,2016,1.56,small,106472.53
225,225,2016-11-27,organic,2016,1.64,,100240.54
226,226,2016-11-20,organic,2016,1.63,small,110737.55
227,227,2016-11-13,organic,2016,1.7,small,110018.79
228,228,2016-11-06,organic,2016,1.68,small,117317.9
229,229,2016-10-30,organic,2016,1.93,small,123815.8
230,230,2016-10-23,organic,2016,1.63,small,131203.12
231,231,2016-10-16,organic,2016,1.5,small,114303.56
232,232,2016-10-09,organic,2016,1.52,small,127092.78
233,233,2016-10-02,organic,2016,1.71,small,131467.24
234,234,2016-09-25,organic,2016,1.69,small,119993.58
235,235,2016-09-18,organic,2016,1.67,small,127014.67
236,236,2016-09-11,organic,2016,1.52,small,144991.21
237,237,2016-09-04,organic,2016,1.54,small,137842.79
238,238,2016-08-28,organic,2016,1.49,small,135742.77
239,239,2016-08-21,organic,2016,1.51,small,177591.96
240,240,2016-08-14,organic,2016,1.48,small,186697.3
241,241,2016-08-07,organic,2016,1.55,small,151179.99
242,242,2016-07-31,organic,2016,1.58,small,156417.33
243,243,2016-07-24,organic,2016,1.65,small,159151.31
244,244,2016-07-17,organic,2016,1.63,small,152828.51
245,245,2016-07-10,organic,2016,1.51,small,152994.7
246,246,2016-07-03,organic,2016,1.47,small,159903.0
247,247,2016-06-26,organic,2016,1.5,small,171054.38
248,248,2016-06-19,organic,2016,1.45,,166983.45
249,249,2016-06-12,organic,2016,1.45,small,176286.36
250,250,2016-06-05,organic,2016,1.43,small,152105.91
251,251,2016-05-29,organic,2016,1.41,small,137449.41
252,252,2016-05-22,organic,2016,1.36,small,166883.21
253,253,2016-05-15,organic,2016,1.45,small,146037.3
254,254,2016-05-08,organic,2016,1.3,small,132225.28
255,255,2016-05-01,organic,2016,1.28,small,238992.91
256,256,2016-04-24,organic,2016,1.25,small,225429.09
257,257,2016-04-17,organic,2016,1.38,small,115155.65
258,258,2016-04-10,organic,2016,1.26,small,108747.34
259,259,2016-04-03,organic,2016,1.44,small,119283.9
