iid,cid,invoice_date,total,bill_ctry
42,51,6/7/2009,1.98,Sweden
43,53,6/7/2009,1.98,UK
44,55,7/7/2009,3.96,Australia
45,59,8/7/2009,5.94,India
46,6,11/7/2009,8.91,Czech Republic
47,15,16/7/2009,13.86,Canada
48,29,24/7/2009,0.99,Canada
126,35,13/7/2010,1.98,Portugal
127,37,13/7/2010,1.98,Germany
128,39,14/7/2010,3.96,France
129,43,15/7/2010,5.94,France
130,49,18/7/2010,8.91,Poland
131,58,23/7/2010,13.86,India
132,13,31/7/2010,0.99,Brazil
209,18,7/7/2011,0.99,USA
210,19,20/7/2011,1.98,USA
211,21,20/7/2011,1.98,USA
212,23,21/7/2011,3.96,USA
213,27,22/7/2011,5.94,USA
214,33,25/7/2011,8.91,Canada
215,42,30/7/2011,13.86,France
292,47,5/7/2012,13.86,Italy
293,2,13/7/2012,0.99,Germany
294,3,26/7/2012,1.98,Canada
295,5,26/7/2012,1.98,Czech Republic
296,7,27/7/2012,3.96,Austria
297,11,28/7/2012,5.94,Brazil
298,17,31/7/2012,10.91,USA
371,8,2/7/2013,1.98,Belgium
372,10,2/7/2013,1.98,Brazil
373,12,3/7/2013,3.96,Brazil
374,16,4/7/2013,5.94,USA
375,22,7/7/2013,8.91,USA
376,31,12/7/2013,13.86,Canada
377,45,20/7/2013,0.99,Hungary
