id,title,popularity,release_date
257,Oliver Twist,20.415572,23/9/2005
14290,Better Luck Tomorrow,3.877036,12/1/2002
38365,Grown Ups,38.864027,24/6/2010
9672,Infamous,3.680896,16/11/2006
12819,Alpha and Omega,12.300789,17/9/2010
49529,John Carter,43.926995,7/3/2012
75638,Red Lights,22.748174,2/3/2012
13785,Best in Show,10.982255,19/9/2000
20024,The End of the Affair,6.921263,3/12/1999
18841,The Lost Skeleton of Cadavra,1.680525,12/9/2001
76757,Jupiter Ascending,85.36908,4/2/2015
158752,Escape from Tomorrow,1.352222,11/10/2013
10956,Joe Dirt,15.976335,10/4/2001
2757,Adaptation.,26.441669,6/12/2002
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,39.873791,1/6/2016
16186,Diary of a Mad Black Woman,3.784535,25/2/2005
2610,Shopgirl,4.820166,21/10/2005
13074,Resurrecting the Champ,4.898437,14/6/2007
26672,The Thief and the Cobbler,2.439184,23/9/1993
21334,Children of Heaven,7.072118,1/8/1997
15301,Twilight Zone: The Movie,12.902975,24/6/1983
59,A History of Violence,34.628738,23/9/2005
10586,The Ghost and the Darkness,12.46525,11/10/1996
55180,The Last Big Thing,0.678475,23/9/1998
157058,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,1.737032,14/1/2013
24100,The Little Vampire,4.365196,27/10/2000
9793,The Hills Have Eyes 2,17.141376,22/3/2007
10735,What a Girl Wants,7.057765,27/3/2003
9353,Nacho Libre,14.642055,16/6/2006
8452,The 6th Day,18.447479,17/11/2000
19995,Avatar,150.437577,10/12/2009
85350,Boyhood,43.40352,5/6/2014
27205,Inception,167.58371,14/7/2010
9437,Kiss the Girls,18.913,3/10/1997
244339,Out of Inferno,1.583918,10/3/2013
112937,The Oogieloves in the Big Balloon Adventure,0.28576,29/8/2012
10280,Thinner,7.866961,25/10/1996
8970,The Out-of-Towners,4.842626,2/4/1999
72359,Peeples,5.112809,9/5/2013
11022,Narc,8.526635,14/1/2002
18923,A Home at the End of the World,5.483531,23/7/2004
1921,Sweet November,19.372805,16/2/2001
9665,Glory,16.102271,15/12/1989
284536,The Gambler,22.622453,25/12/2014
1491,The Illusionist,36.960953,18/8/2006
9776,Head of State,3.457194,1/1/2003
13982,8 Heads in a Duffel Bag,5.016607,18/4/1997
139038,A Haunted House,18.661541,11/1/2013
10691,Crazy/Beautiful,6.130096,29/6/2001
17813,Alex & Emma,4.352422,16/6/2003
6435,Practical Magic,15.142701,16/10/1998
4421,G.I. Jane,19.434672,22/8/1997
1792,Stuck on You,8.802525,10/12/2003
80035,The Watch,39.395881,26/7/2012
12783,The Duchess,18.591657,5/9/2008
154,Star Trek II: The Wrath of Khan,22.434102,3/6/1982
172391,Khumba,6.459787,18/7/2013
6116,Spice World,6.889437,19/12/1997
13680,The Game Plan,20.699212,28/9/2007
1125,Dreamgirls,14.486311,25/12/2006
2752,40 Days and 40 Nights,14.18136,1/3/2002
11637,Are We There Yet?,13.590677,20/1/2005
80585,Rock of Ages,23.515938,13/6/2012
13889,Madadayo,2.930853,17/4/1993
16899,Easy Virtue,8.387573,1/1/2008
7510,Running with Scissors,4.770195,27/10/2006
51955,Hav Plenty,0.003142,11/9/1997
68727,Trance,38.802415,27/3/2013
9621,Elizabethtown,22.894898,6/10/2005
17186,Supercross,3.71305,16/8/2005
26618,Clay Pigeons,4.221313,25/9/1998
225565,That Awkward Moment,37.821106,29/1/2014
208134,Bad Grandpa,27.165222,22/10/2013
288927,Archaeology of a Woman,0.254659,12/9/2014
77951,Walking With Dinosaurs,10.088006,18/12/2013
12509,Pollock,8.483531,6/9/2000
31640,Blood and Wine,1.492056,3/10/1996
49026,The Dark Knight Rises,112.31295,16/7/2012
4584,Sense and Sensibility,20.898711,13/12/1995
377,A Nightmare on Elm Street,38.204158,14/11/1984
303858,Money Monster,38.279458,12/5/2016
200,Star Trek: Insurrection,19.711951,10/12/1998
10202,Bedtime Stories,23.531721,24/12/2008
302579,Naturally Native,0.578798,8/10/1999
8536,Superman II,30.515175,4/12/1980
577,To Die For,12.309715,20/5/1995
34653,A Single Man,21.626288,19/10/2009
1408,Cutthroat Island,7.029308,22/12/1995
654,On the Waterfront,16.015599,22/6/1954
1649,Bill & Ted's Bogus Journey,11.349664,19/7/1991
13389,Righteous Kill,18.380176,11/9/2008
27585,Rabbit Hole,10.095184,16/12/2010
15544,Extreme Movie,8.148187,5/12/2008
283686,Out of the Dark,3.215465,27/8/2014
38007,Ira & Abby,0.595136,1/1/2006
9613,Spider,6.948401,13/12/2002
59728,The 5th Quarter,0.215464,25/3/2011
10065,The Amityville Horror,30.205943,15/4/2005
16028,They,4.544216,1/11/2002
268920,Hot Pursuit,18.262017,8/5/2015
74,War of the Worlds,48.572726,28/6/2005
139948,Burn,0.126676,1/11/2012
50359,Hop,16.791058,30/3/2011
10193,Toy Story 3,59.995418,16/6/2010
8363,Superbad,33.436092,17/8/2007
12142,Alone in the Dark,9.292987,28/1/2005
92635,Snow White: A Deadly Summer,0.653495,16/3/2012
35056,Date Night,38.06168,8/4/2010
1429,25th Hour,30.196039,16/12/2002
950,Ice Age: The Meltdown,85.115058,23/3/2006
273895,Selma,29.023184,25/12/2014
8467,Dumb and Dumber,35.777067,16/12/1994
309425,Do You Believe?,2.470443,20/3/2015
222899,About Last Night,11.828068,14/2/2014
214,Saw III,33.124871,27/10/2006
2312,In the Name of the King: A Dungeon Siege Tale,15.406173,29/11/2007
176,Saw,63.655973,1/10/2004
376659,Bad Moms,42.512296,28/7/2016
3170,Bambi,47.651878,14/8/1942
9583,Divine Secrets of the Ya-Ya Sisterhood,5.576937,7/6/2002
17578,The Adventures of Tintin,89.938296,25/10/2011
9945,Vampires,17.016284,15/4/1998
10603,George of the Jungle,22.573237,15/7/1997
16690,Return to Never Land,15.341196,14/2/2002
10781,The Texas Chainsaw Massacre: The Beginning,21.380635,6/10/2006
9030,The Eye,11.135734,1/2/2008
340611,Indignation,5.625989,29/7/2016
238636,The Purge: Anarchy,82.975841,17/7/2014
3060,The Big Parade,0.785744,5/11/1925
18892,Jawbreaker,4.337685,30/1/1999
55779,Final Destination 5,38.555482,12/8/2011
10996,Stuart Little 2,27.990284,19/7/2002
1591,Nowhere in Africa,3.481517,11/12/2001
4515,Lions for Lambs,9.789027,22/10/2007
62,2001: A Space Odyssey,86.201184,10/4/1968
31005,Moonlight Mile,8.982335,9/9/2002
1440,Little Children,11.942862,6/10/2006
10115,Stick It,9.750557,21/4/2006
11588,The I Inside,3.789485,15/1/2004
1809,The Rules of Attraction,11.387335,11/10/2002
11536,The Misfits,2.930058,1/1/1961
454,Romeo + Juliet,41.493042,31/10/1996
14292,Miracle,7.534003,6/2/2004
174751,Jane Got a Gun,15.333575,1/1/2016
1590,Copying Beethoven,5.062687,10/9/2006
283671,Jungle Shuffle,1.413934,7/8/2014
68728,Oz: The Great and Powerful,46.985445,7/3/2013
21345,City of Life and Death,4.793348,22/4/2009
20761,Play It to the Bone,5.566203,25/12/1999
9955,Blades of Glory,19.412028,30/3/2007
210860,Mortdecai,52.417529,21/1/2015
8007,Behind Enemy Lines,24.012986,17/11/2001
50601,5 Days of War,5.727602,14/4/2011
36739,School Daze,3.159574,12/2/1988
889,The Flintstones in Viva Rock Vegas,6.248309,28/4/2000
49538,X-Men: First Class,3.195174,24/5/2011
22787,Whiteout,14.818718,9/9/2009
62728,Brighton Rock,3.122152,13/9/2010
16340,Rugrats in Paris: The Movie,4.590277,14/9/2000
49787,The Reef,7.245108,15/5/2010
329,Jurassic Park,40.413191,11/6/1993
153397,Restless,0.812776,7/12/2012
38055,Megamind,68.757242,28/10/2010
36970,Oceans,10.706613,17/10/2009
93856,Chernobyl Diaries,20.649145,24/5/2012
388,Inside Man,45.220386,23/3/2006
11090,The Animal,13.786075,1/6/2001
332285,Antibirth,3.674294,2/9/2016
11469,Black Knight,15.913783,21/11/2001
238,The Godfather,143.659698,14/3/1972
5820,The Sentinel,15.352807,19/4/2006
2320,Executive Decision,17.231675,15/3/1996
19848,The Players Club,5.769822,8/4/1998
81005,Jack the Giant Slayer,43.349855,27/2/2013
8618,The History Boys,3.771652,2/10/2006
698,Moonraker,29.887404,26/6/1979
137347,Closer to the Moon,9.159265,29/11/2013
12247,Shotgun Stories,5.251143,1/10/2007
84329,Robot & Frank,23.419061,16/8/2012
9448,The Big Hit,6.425528,24/4/1998
300327,Death Calls,0.005883,1/9/2010
10386,The Iron Giant,61.245957,6/8/1999
1424,November,5.742359,22/7/2004
10592,Hart's War,14.244518,15/2/2002
1572,Die Hard: With a Vengeance,51.881077,19/5/1995
3049,Ace Ventura: Pet Detective,41.249004,4/2/1994
11592,Serial Mom,6.170139,13/4/1994
361475,Departure,0.42583,20/5/2016
920,Cars,82.643036,8/6/2006
61752,Girl 6,2.993939,22/3/1996
9541,Jersey Girl,14.699342,25/3/2004
286939,Sanctuary: Quite a Conundrum,0.166513,20/1/2012
175541,Black Nativity,7.180403,27/11/2013
87827,Life of Pi,51.328145,20/11/2012
16653,The Singles Ward,0.920591,30/1/2002
2251,Unfaithful,14.382253,10/5/2002
183894,Emma,2.135689,11/10/2009
41283,Faster,26.324874,23/11/2010
134411,Snitch,30.556135,21/2/2013
10731,The Client,17.746719,20/7/1994
35073,"The Beast from 20,000 Fathoms",2.043661,13/6/1953
284296,Top Five,15.896312,12/12/2014
10436,The Age of Innocence,9.133747,17/9/1993
100,"Lock, Stock and Two Smoking Barrels",16.032594,5/3/1998
10012,Cursed,11.195593,25/2/2005
48988,Hall Pass,27.11589,25/2/2011
641,Requiem for a Dream,11.573034,27/10/2000
87826,Here Comes the Boom,26.799913,11/10/2012
13579,The Longshots,4.030724,22/8/2008
34549,Max Keeble's Big Move,1.081822,5/10/2001
8489,Ali,18.866672,11/12/2001
31007,Welcome to the Rileys,6.085879,29/10/2010
9767,The Break-Up,26.251217,1/6/2006
1824,50 First Dates,61.437586,13/2/2004
664,Twister,32.079995,10/5/1996
12227,White Fang,13.13724,18/1/1991
244534,Happy Christmas,7.052422,26/6/2014
2018,The Wedding Planner,14.949395,26/1/2001
315011,Shin Godzilla,9.476999,29/7/2016
5955,The Pledge,12.495436,9/1/2001
598,City of God,44.356711,5/2/2002
258489,The Legend of Tarzan,42.741719,29/6/2016
585,"Monsters, Inc.",106.815545,1/11/2001
19994,Jennifer's Body,32.257414,18/9/2009
150689,Cinderella,101.187052,12/3/2015
18615,Fur: An Imaginary Portrait of Diane Arbus,4.358255,30/8/2006
9829,United 93,17.50138,28/4/2006
26837,B-Girl,0.631571,29/7/2009
2008,The Promise,3.866026,15/12/2005
364083,Mi America,0.039007,16/10/2015
9700,The Lost City,3.588529,3/9/2005
30379,Megiddo: The Omega Code 2,0.809588,7/9/2001
296,Terminator 3: Rise of the Machines,69.405188,2/7/2003
16769,Coal Miner's Daughter,3.826685,7/3/1980
11892,Murder by Numbers,16.167093,19/4/2002
2447,The Nativity Story,3.721272,1/12/2006
34335,Nine Dead,9.68793,1/1/2010
20694,Rugrats Go Wild,8.255708,13/6/2003
9895,Man of the Year,11.203335,9/10/2006
14337,Primer,23.307949,8/10/2004
10534,White Squall,10.047579,2/2/1996
15070,Undisputed,17.227376,23/8/2002
20360,Namastey London,1.840511,27/3/2007
190859,American Sniper,87.53437,11/12/2014
57022,Sunshine State,4.245123,21/6/2002
146216,RED 2,44.34333,18/7/2013
16428,Breakin' All the Rules,6.904734,14/5/2004
310569,The Second Mother,9.683622,8/2/2015
52451,The Three Musketeers,36.605246,31/8/2011
5137,Sky Captain and the World of Tomorrow,24.664776,17/9/2004
10913,Dear Wendy,2.597665,22/1/2005
121676,Inescapable,6.783053,14/9/2012
9344,Kids,13.291991,28/7/1995
17917,Oliver!,8.305998,26/9/1968
9839,Beyond Borders,6.523472,23/10/2003
