,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
0,41,6.44E-01,0.823,2.37E+05,0.814,6.87E-01,0.117,-5.611,0.177,102.619,0.649,Jazz
1,62,8.55E-02,0.686,1.54E+05,0.67,0.00E+00,0.12,-7.626,0.225,173.915,0.636,Rap
2,42,2.39E-01,0.669,2.18E+05,0.736,1.69E-04,0.598,-3.223,0.06,145.061,0.494,Electronic
3,64,1.25E-02,0.522,2.46E+05,0.923,1.70E-02,0.085,-4.56,0.054,120.406,0.595,Rock
4,60,1.21E-01,0.78,2.29E+05,0.467,1.34E-04,0.314,-6.645,0.253,96.056,0.312,Rap
5,50,6.64E-02,0.419,2.71E+05,0.71,0.00E+00,0.097,-5.659,0.032,143.968,0.242,Alternative
6,62,1.98E-02,0.6,2.78E+05,0.912,6.52E-05,0.088,-3.449,0.072,110.339,0.506,Rock
7,70,8.23E-02,0.791,2.15E+05,0.759,4.44E-05,0.099,-5.67,0.037,124.725,0.917,Rock
8,61,6.08E-01,0.673,1.17E+05,0.349,0.00E+00,0.38,-12.414,0.037,124.451,0.609,Rock
9,71,3.14E-02,0.559,2.06E+05,0.882,1.71E-05,0.605,-4.281,0.157,126.064,0.634,Rock
10,39,9.70E-01,0.206,2.08E+05,0.116,9.59E-01,0.144,-23.543,0.046,114.943,0.038,Classical
11,67,5.31E-04,0.502,2.30E+05,0.685,1.61E-06,0.092,-5.847,0.028,81.978,0.574,Rock
12,53,3.51E-03,0.422,2.05E+05,0.953,1.03E-06,0.575,-5.927,0.123,152.009,0.2,Rock
13,29,6.84E-02,0.437,2.27E+05,0.722,8.48E-01,0.133,-8.987,0.046,139.077,0.192,Blues
14,52,3.86E-01,0.691,2.57E+05,0.551,1.15E-03,0.223,-8.984,0.039,93.979,0.654,Rock
15,65,1.71E-01,0.444,1.46E+05,0.943,6.59E-06,0.297,-3.724,0.104,125.896,0.411,Rock
16,39,3.51E-03,0.534,2.87E+05,0.653,2.05E-02,0.254,-7.358,0.031,155.693,0.434,Blues
17,52,1.78E-02,0.878,2.52E+05,0.651,0.00E+00,0.041,-8.074,0.252,92.028,0.102,Rap
18,23,1.90E-02,0.519,2.57E+05,0.875,0.00E+00,0.315,-4.542,0.041,104.04,0.546,Anime
19,67,2.38E-03,0.236,3.54E+05,0.84,2.04E-01,0.303,-3.454,0.057,129.19,0.189,Rock
20,48,7.87E-01,0.74,1.30E+05,0.565,0.00E+00,0.38,-9.483,0.054,113.713,0.844,Country
21,58,2.20E-01,0.704,2.38E+05,0.528,3.50E-01,0.14,-13.382,0.036,117.472,0.73,Rock
22,67,6.09E-02,0.648,2.42E+05,0.75,4.41E-06,0.104,-3.248,0.034,105.03,0.556,Rock
23,62,4.56E-04,0.519,1.91E+05,0.892,5.25E-04,0.572,-5.285,0.113,174.027,0.559,Rock
24,52,3.84E-03,0.544,2.10E+05,0.625,6.57E-03,0.089,-6.797,0.034,75.243,0.43,Rock
25,59,8.33E-01,0.471,2.67E+05,0.164,0.00E+00,0.101,-10.879,0.032,125.242,0.17,Rock
26,68,2.10E-02,0.424,2.55E+05,0.632,1.17E-02,0.054,-7.243,0.092,97.694,0.356,Rock
27,43,1.29E-02,0.616,2.07E+05,0.605,0.00E+00,0.112,-4.641,0.093,77.493,0.435,Alternative
28,64,7.66E-02,0.397,3.27E+05,0.499,1.55E-06,0.111,-10.972,0.069,171.067,0.367,Rock
29,32,4.65E-03,0.638,2.22E+05,0.587,9.09E-01,0.157,-6.266,0.041,145.036,0.323,Electronic
30,61,4.33E-02,0.596,1.85E+05,0.729,1.51E-01,0.135,-5.82,0.07,149.999,0.56,Rock
31,55,1.26E-01,0.779,2.17E+05,0.902,0.00E+00,0.242,-2.975,0.169,95.321,0.82,Rap
32,65,9.95E-04,0.602,2.62E+05,0.755,7.99E-02,0.412,-5.791,0.04,135.042,0.646,Rock
33,51,6.02E-01,0.658,1.41E+05,0.626,2.46E-06,0.682,-6.069,0.328,120.406,0.738,Hip-Hop
34,68,2.21E-01,0.588,2.78E+05,0.301,2.36E-03,0.128,-14.979,0.029,112.458,0.19,Rock
35,74,2.41E-02,0.469,3.83E+05,0.537,2.01E-03,0.269,-10.421,0.152,124.193,0.783,Rock
36,62,1.82E-02,0.378,3.40E+05,0.596,1.14E-05,0.144,-5.406,0.032,135.968,0.172,Rock
37,54,9.36E-01,0.696,1.31E+05,0.234,4.30E-05,0.114,-14.541,0.038,130.302,0.484,Jazz
38,65,5.27E-01,0.773,2.65E+05,0.794,3.54E-04,0.113,-4.954,0.033,101.143,0.907,Rock
39,51,3.16E-01,0.474,2.34E+05,0.508,0.00E+00,0.166,-6.845,0.024,77.31,0.358,Blues
40,53,3.64E-02,0.45,4.16E+05,0.341,2.84E-04,0.041,-14.218,0.033,118.782,0.366,Rock
41,50,5.55E-03,0.74,1.85E+05,0.497,0.00E+00,0.334,-5.309,0.152,147.026,0.067,Hip-Hop
42,33,8.40E-01,0.192,4.22E+05,0.007,8.44E-02,0.068,-37.783,0.046,79.046,0.07,Classical
