,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
0,64,6.94E-01,0.61,2.17E+05,0.59,2.32E-06,0.15,-7.325,0.036,137.838,0.352,NaN
1,31,7.39E-01,0.565,2.61E+05,0.393,8.45E-04,0.143,-9.309,0.024,75.537,0.229,Anime
2,57,8.79E-03,0.433,2.63E+05,0.815,0.00E+00,0.138,-3.658,NaN,125.358,0.461,Rock
3,63,1.05E-02,0.359,5.64E+05,0.762,2.81E-01,0.368,-8.323,0.032,89.259,0.167,Rock
4,NaN,3.01E-01,0.511,NaN,0.699,NaN,0.088,NaN,0.037,120.406,0.496,Anime
5,65,NaN,0.491,-1.00E+00,NaN,2.78E-06,0.626,-6.564,0.028,112.704,0.407,Rock
6,44,7.10E-01,0.627,NaN,0.496,NaN,0.343,-11.866,0.04,95,0.08,Electronic
7,48,NaN,0.54,3.50E+05,NaN,4.68E-02,0.599,NaN,0.035,86.054,0.243,Jazz
8,67,5.31E-04,0.502,NaN,0.685,NaN,0.092,-5.847,0.028,81.978,0.574,Rock
9,52,NaN,0.835,1.71E+05,NaN,0.00E+00,0.304,-4.052,0.247,122.019,0.833,Rap
10,58,8.44E-02,0.593,-1.00E+00,0.837,0.00E+00,0.148,-4.834,0.03,99.947,0.569,Rock
11,38,1.10E-01,0.418,3.18E+05,0.652,5.35E-01,0.354,-11.112,0.075,80.451,0.607,Jazz
12,57,7.86E-01,0.127,2.89E+05,0.335,4.27E-01,0.111,-8.298,0.033,77.078,0.069,Alternative
13,53,1.57E-02,0.663,2.13E+05,0.777,8.29E-03,0.075,-5.496,0.037,143.003,0.94,Rock
14,28,8.20E-02,NaN,2.11E+05,0.948,1.17E-02,0.968,-4.517,0.101,161.473,NaN,Blues
15,50,5.06E-02,0.663,1.26E+05,0.738,0.00E+00,0.089,-6.958,0.4,184.078,0.544,Rap
16,56,NaN,0.705,2.74E+05,NaN,0.00E+00,0.176,-6.397,0.396,71.666,0.35,Rap
17,74,3.11E-01,0.644,NaN,0.501,NaN,NaN,-8.959,0.492,NaN,0.173,Rap
18,54,5.35E-03,0.413,2.31E+05,0.885,1.97E-06,0.166,-7.695,0.078,113.807,0.211,Alternative
19,52,2.49E-02,0.494,NaN,0.836,NaN,NaN,-4.327,NaN,NaN,0.627,Rock
20,53,5.41E-02,0.651,2.70E+05,0.875,9.84E-03,0.025,-4.349,0.041,92.022,0.83,Rock
21,76,3.86E-01,0.49,1.46E+05,0.715,0.00E+00,0.311,-5.549,0.048,130.726,0.866,Rock
22,53,1.33E-02,0.229,2.16E+05,0.871,2.18E-06,0.266,-4.558,0.103,86.965,0.395,Rock
23,53,2.22E-01,0.474,3.53E+05,0.382,1.95E-02,0.149,-13.291,0.025,80.8,0.69,Rock
24,29,9.16E-01,0.23,6.65E+05,0.041,2.22E-01,0.086,-23.741,0.046,120.406,0.105,Classical
25,39,3.51E-03,0.534,2.87E+05,0.653,2.05E-02,0.254,-7.358,0.031,155.693,0.434,Blues
26,37,1.06E-02,0.204,1.37E+05,0.104,8.28E-01,0.136,-21.608,0.046,68.323,0.032,Classical
27,40,7.02E-01,0.674,2.47E+05,0.528,1.63E-05,0.08,-6.939,0.045,88.105,0.955,Jazz
28,62,2.34E-02,0.628,2.11E+05,0.797,3.57E-06,0.112,-6.103,0.037,120.406,0.497,Rock
